Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55374,9317.0,0.72 %,"#9,364",45.180046,-93.582644,Rogers,Minnesota
55946,3310.0,0.72 %,"#9,365",44.262107,-92.950147,Kenyon,Minnesota
56007,21525.0,0.71 %,"#9,463",43.660594,-93.356924,Albert Lea,Minnesota
56024,2239.0,0.71 %,"#9,464",44.144861,-93.856989,Eagle Lake,Minnesota
55359,5612.0,0.71 %,"#9,465",45.009590,-93.698264,Maple Plain,Minnesota
55947,7338.0,0.70 %,"#9,545",43.822952,-91.365543,La Crescent,Minnesota
55053,710.0,0.70 %,"#9,546",44.338345,-93.055440,Nerstrand,Minnesota
55066,18412.0,0.70 %,"#9,547",44.511925,-92.539132,Red Wing,Minnesota
56759,288.0,0.69 %,"#9,635",48.550917,-96.037479,Strathcona,Minnesota
56543,289.0,0.69 %,"#9,636",46.291177,-96.332239,Foxhome,Minnesota
55356,4738.0,0.69 %,"#9,637",44.995980,-93.600798,Long Lake,Minnesota
55003,3162.0,0.69 %,"#9,638",45.014769,-92.783467,Bayport,Minnesota
55807,10302.0,0.68 %,"#9,712",46.736994,-92.173008,Duluth,Minnesota
55327,3502.0,0.68 %,"#9,713",45.204294,-93.468840,Dayton,Minnesota
55073,2790.0,0.68 %,"#9,715",45.272533,-92.814871,Scandia,Minnesota
56510,2372.0,0.67 %,"#9,802",47.331959,-96.506509,Ada,Minnesota
56127,446.0,0.67 %,"#9,803",43.548714,-94.780895,Dunnell,Minnesota
55019,1039.0,0.67 %,"#9,804",44.411004,-93.250262,Dundas,Minnesota
56379,12696.0,0.66 %,"#9,915",45.639681,-94.082678,Sauk Rapids,Minnesota
55973,302.0,0.66 %,"#9,916",43.804299,-92.777916,Sargeant,Minnesota
56588,459.0,0.65 %,"#9,995",46.209154,-95.516561,Vining,Minnesota
56101,5960.0,0.65 %,"#9,996",43.885011,-95.144745,Windom,Minnesota
55920,5618.0,0.65 %,"#9,997",44.013359,-92.623778,Byron,Minnesota
55150,152.0,0.65 %,"#9,998",44.885619,-93.169985,Mendota,Minnesota
56110,2004.0,0.64 %,"#10,074",43.627226,-95.939844,Adrian,Minnesota
56701,12340.0,0.63 %,"#10,152",48.129737,-96.194443,Thief River Falls,Minnesota
55803,16446.0,0.63 %,"#10,153",47.082574,-92.096106,Duluth,Minnesota
55339,960.0,0.62 %,"#10,263",44.724481,-93.939557,Hamburg,Minnesota
55115,9018.0,0.62 %,"#10,264",45.068987,-92.946580,Saint Paul,Minnesota
56230,982.0,0.61 %,"#10,374",44.796548,-95.087438,Danube,Minnesota
56594,494.0,0.60 %,"#10,494",46.554184,-96.652297,Wolverton,Minnesota
55733,4106.0,0.60 %,"#10,495",46.707705,-92.361663,Esko,Minnesota
56580,835.0,0.59 %,"#10,583",46.734263,-96.636178,Sabin,Minnesota
56519,335.0,0.59 %,"#10,584",47.157963,-96.514670,Borup,Minnesota
56011,6028.0,0.59 %,"#10,585",44.596318,-93.779250,Belle Plaine,Minnesota
55025,19659.0,0.59 %,"#10,586",45.256176,-93.029098,Forest Lake,Minnesota
55072,4050.0,0.59 %,"#10,591",46.094837,-92.526656,Sandstone,Minnesota
56031,12725.0,0.58 %,"#10,745",43.622511,-94.468503,Fairmont,Minnesota
56093,12927.0,0.58 %,"#10,746",44.058570,-93.519385,Waseca,Minnesota
55325,4112.0,0.58 %,"#10,747",45.092093,-94.319218,Dassel,Minnesota
56384,346.0,0.57 %,"#10,862",45.805558,-94.573675,Upsala,Minnesota
55334,2975.0,0.57 %,"#10,863",44.521530,-94.215248,Gaylord,Minnesota
55047,2624.0,0.57 %,"#10,864",45.200429,-92.820729,Marine On Saint Croix,Minnesota
56021,1056.0,0.56 %,"#10,995",44.278448,-94.312711,Courtland,Minnesota
56087,3335.0,0.56 %,"#10,996",44.239487,-94.975232,Springfield,Minnesota
55313,18175.0,0.56 %,"#10,999",45.173817,-93.849655,Buffalo,Minnesota
56262,727.0,0.55 %,"#11,126",45.115071,-95.869707,Milan,Minnesota
55328,7332.0,0.55 %,"#11,127",45.033414,-93.814206,Delano,Minnesota
55336,8078.0,0.55 %,"#11,128",44.783927,-94.178456,Glencoe,Minnesota
56081,6314.0,0.55 %,"#11,129",43.986711,-94.632944,Saint James,Minnesota
55018,909.0,0.55 %,"#11,130",44.414410,-92.995374,Dennison,Minnesota
55362,13833.0,0.55 %,"#11,131",45.292082,-93.838711,Monticello,Minnesota
55970,919.0,0.54 %,"#11,246",43.599585,-92.837811,Rose Creek,Minnesota
56218,734.0,0.54 %,"#11,247",44.826953,-95.940466,Boyd,Minnesota
55387,8595.0,0.54 %,"#11,248",44.868884,-93.786996,Waconia,Minnesota
55338,917.0,0.54 %,"#11,249",44.666072,-93.974535,Green Isle,Minnesota
56257,558.0,0.53 %,"#11,377",44.976444,-96.401979,Marietta,Minnesota
56164,5958.0,0.53 %,"#11,378",44.039972,-96.331600,Pipestone,Minnesota
55033,25799.0,0.53 %,"#11,379",44.711921,-92.863210,Hastings,Minnesota
55782,374.0,0.53 %,"#11,380",47.808371,-92.238694,Soudan,Minnesota
