,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Zipcodes,Biz Latitude,Biz Longitude
372,55118,44.894315,-93.100947,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
374,55118,44.894315,-93.100947,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
377,55118,44.894315,-93.100947,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
384,55119,44.942599,-93.005601,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
386,55119,44.942599,-93.005601,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
387,55119,44.942599,-93.005601,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
395,55122,44.811688,-93.194418,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
396,55122,44.811688,-93.194418,Saigon Asian Food Market,Burnsville,55337,44.7884281,-93.2463804
397,55122,44.811688,-93.194418,TBS Mart,Bloomington,55420,44.860838,-93.26903
399,55122,44.811688,-93.194418,Asian Direct Oriental Market,Richfield,55423,44.86349,-93.26758
409,55124,44.745053,-93.205486,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
410,55124,44.745053,-93.205486,Saigon Asian Food Market,Burnsville,55337,44.7884281,-93.2463804
412,55124,44.745053,-93.205486,Chan Oriental Market,Minneapolis,55420,44.8395572,-93.2888149
413,55124,44.745053,-93.205486,TBS Mart,Bloomington,55420,44.860838,-93.26903
414,55124,44.745053,-93.205486,Kt Oriental Market,Minneapolis,55423,44.86645,-93.28885
415,55124,44.745053,-93.205486,Asian Direct Oriental Market,Richfield,55423,44.86349,-93.26758
420,55125,44.918031,-92.938277,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
425,55126,45.085674,-93.134938,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
426,55126,45.085674,-93.134938,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
427,55126,45.085674,-93.134938,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
428,55126,45.085674,-93.134938,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
429,55126,45.085674,-93.134938,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
430,55126,45.085674,-93.134938,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
432,55126,45.085674,-93.134938,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
433,55126,45.085674,-93.134938,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
437,55126,45.085674,-93.134938,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
439,55126,45.085674,-93.134938,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
442,55127,45.088675,-93.077568,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
443,55127,45.088675,-93.077568,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
444,55127,45.088675,-93.077568,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
445,55127,45.088675,-93.077568,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
446,55127,45.088675,-93.077568,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
